subscriber_id,signup_date,subscription_tier,age_group,region,num_profiles,months_subscribed,days_to_first_watch,avg_weekly_watch_hours,days_since_last_watch,genre_diversity_score,pct_content_completed,num_titles_watched,favorite_genre,churned,churn_date
SUB_00088,2023-08-31,Standard,25-34,Northeast,1,16,1,4.9,15,0.69,0.43,27,Documentary,0,
SUB_00089,2023-03-11,Premium,35-44,South,1,22,4,10.4,10,0.52,0.67,47,Crime,0,
SUB_00090,2023-03-12,Standard,25-34,South,2,22,0,5.5,16,0.27,0.93,44,Romance,0,
SUB_00091,2024-09-14,Basic,25-34,Midwest,1,3,0,0.7,20,0.81,0.64,13,Action,1,2024-09-19
SUB_00092,2023-06-07,Standard,18-24,Midwest,2,19,2,4.0,3,0.71,0.54,38,Romance,0,
SUB_00093,2024-07-02,Standard,25-34,Midwest,2,6,0,5.8,4,0.17,0.92,10,Sci-Fi,0,
SUB_00094,2023-11-22,Standard,45+,South,3,13,6,5.6,21,0.76,0.8,31,Animation,0,
SUB_00095,2023-02-04,Standard,45+,Midwest,1,23,3,8.1,6,0.69,0.53,54,Sci-Fi,0,
SUB_00096,2024-04-24,Standard,25-34,South,2,8,0,4.5,8,0.64,0.87,12,Drama,0,
SUB_00097,2024-04-04,Standard,35-44,South,3,9,1,2.1,15,0.03,0.78,12,Action,0,
SUB_00098,2024-02-20,Standard,35-44,South,5,10,4,3.8,38,0.5,0.83,17,Action,1,2024-03-07
SUB_00099,2024-07-24,Basic,25-34,West,4,5,7,0.4,7,0.45,0.75,9,Animation,0,
SUB_00100,2024-02-23,Basic,18-24,Northeast,2,10,6,4.4,15,0.34,0.77,20,Action,0,
SUB_00101,2024-05-25,Basic,45+,West,3,7,0,3.2,18,0.67,0.94,15,Comedy,0,
SUB_00102,2024-01-03,Standard,35-44,Northeast,2,12,0,5.9,30,0.45,0.76,25,Romance,1,2024-02-20
SUB_00103,2023-07-26,Basic,45+,South,2,17,2,2.6,2,0.78,0.64,32,Romance,0,
SUB_00104,2023-12-27,Standard,25-34,South,3,12,2,4.8,5,0.27,0.47,26,Drama,0,
SUB_00105,2024-03-11,Premium,35-44,Midwest,2,9,1,4.6,4,0.18,0.73,10,Crime,0,
SUB_00106,2024-07-31,Basic,25-34,Northeast,1,5,11,1.3,0,0.8,0.87,9,Animation,1,2024-09-25
SUB_00107,2023-09-27,Standard,25-34,West,3,15,4,0.0,1,0.69,0.92,29,Animation,1,2024-01-25
SUB_00108,2023-08-21,Standard,25-34,West,4,16,3,6.7,0,0.53,0.26,25,Comedy,0,
SUB_00109,2024-10-30,Basic,25-34,Midwest,1,2,0,2.2,9,0.6,0.77,4,Action,1,2024-12-02
SUB_00110,2023-04-16,Basic,18-24,South,3,20,1,2.1,27,0.3,0.85,36,Horror,1,2023-05-14
SUB_00111,2024-10-27,Basic,25-34,West,2,2,2,0.9,2,0.33,0.58,6,Animation,1,2024-12-02
SUB_00112,2023-01-18,Basic,18-24,West,2,23,4,1.9,16,0.54,0.46,47,Sci-Fi,1,2023-08-10
SUB_00113,2024-05-09,Premium,35-44,South,3,7,8,12.4,20,0.62,0.85,15,Romance,1,2024-11-09
SUB_00114,2023-09-17,Premium,25-34,Midwest,4,15,3,11.6,4,0.47,0.72,38,Animation,0,
SUB_00115,2024-04-29,Standard,18-24,South,2,8,1,2.3,1,0.3,0.59,10,Documentary,0,
SUB_00116,2023-11-09,Premium,18-24,South,3,13,3,7.2,23,0.81,0.85,28,Romance,0,
SUB_00117,2024-09-22,Premium,18-24,South,2,3,0,12.7,29,0.76,0.49,7,Action,0,
SUB_00118,2023-04-12,Basic,35-44,South,4,20,2,1.6,23,0.77,0.74,40,Crime,1,2024-10-22
SUB_00119,2024-06-20,Premium,18-24,Northeast,3,6,6,17.2,0,0.26,0.84,13,Comedy,0,
SUB_00120,2023-06-29,Standard,35-44,South,3,18,3,2.6,0,0.36,0.97,37,Documentary,0,
SUB_00121,2024-05-24,Premium,18-24,Midwest,5,7,0,9.2,4,0.78,0.58,16,Thriller,0,
SUB_00122,2024-04-21,Premium,25-34,West,1,8,3,8.5,13,0.26,0.97,15,Comedy,0,
SUB_00123,2024-11-04,Basic,45+,West,2,1,3,1.7,6,0.24,0.9,3,Comedy,0,
SUB_00124,2024-02-04,Basic,35-44,South,3,11,2,0.5,4,0.43,0.29,26,Documentary,1,2024-09-06
SUB_00125,2023-12-16,Basic,18-24,Midwest,2,12,5,0.0,8,0.42,0.47,21,Animation,1,2024-04-07
SUB_00126,2023-08-03,Standard,45+,Northeast,3,17,0,6.4,11,0.41,0.48,31,Romance,0,
SUB_00127,2024-01-18,Premium,25-34,Midwest,1,11,1,16.0,3,0.48,0.68,19,Horror,0,
SUB_00128,2023-05-04,Premium,45+,Northeast,3,20,4,8.1,0,0.36,0.45,44,Thriller,0,
SUB_00129,2023-10-19,Basic,35-44,South,3,14,2,2.4,22,0.57,0.79,22,Thriller,0,
SUB_00130,2024-10-29,Standard,35-44,Midwest,1,2,15,4.6,6,0.89,0.54,6,Animation,0,
SUB_00131,2024-12-05,Standard,45+,South,2,1,0,4.6,1,0.47,0.59,1,Sci-Fi,0,
SUB_00132,2023-11-24,Basic,25-34,Northeast,1,13,0,1.1,1,0.9,0.49,27,Documentary,1,2024-07-11
SUB_00133,2024-07-18,Basic,35-44,West,4,5,0,3.0,9,0.66,0.62,9,Crime,0,
SUB_00134,2024-11-12,Basic,25-34,South,1,1,11,2.4,0,0.8,0.64,1,Crime,1,2024-12-01
SUB_00135,2023-04-08,Premium,18-24,Northeast,1,21,6,7.4,11,0.25,0.92,41,Sci-Fi,0,
SUB_00136,2024-10-20,Basic,18-24,Northeast,1,2,0,3.2,27,0.75,0.66,3,Crime,1,2024-11-07
SUB_00137,2023-10-27,Standard,18-24,South,1,14,1,8.6,7,0.38,0.76,26,Thriller,0,
SUB_00138,2023-01-30,Standard,35-44,Northeast,3,23,0,7.9,10,0.25,0.83,44,Documentary,0,
SUB_00139,2023-03-15,Standard,35-44,Midwest,4,21,3,4.6,13,0.8,0.66,43,Thriller,0,
SUB_00140,2023-06-21,Premium,35-44,South,2,18,1,6.6,8,0.29,0.55,38,Comedy,0,
SUB_00141,2023-03-25,Premium,18-24,Midwest,1,21,0,6.5,6,0.76,0.69,26,Animation,0,
SUB_00142,2024-08-07,Basic,25-34,Northeast,2,4,2,1.3,12,0.34,0.38,13,Action,1,2024-11-19
SUB_00143,2023-10-17,Standard,45+,South,2,14,4,4.0,1,0.14,0.65,25,Romance,0,
SUB_00144,2024-09-30,Basic,25-34,Midwest,2,3,1,3.3,9,0.6,0.66,5,Thriller,1,2024-10-01
SUB_00145,2023-03-26,Basic,35-44,Midwest,2,21,4,0.0,2,0.9,0.68,46,Animation,0,
SUB_00146,2023-09-11,Basic,35-44,Midwest,3,15,1,1.9,16,0.48,0.72,43,Documentary,0,
SUB_00147,2024-10-25,Standard,35-44,West,2,2,0,3.7,17,0.23,0.43,8,Documentary,1,2024-12-13
SUB_00148,2024-06-02,Standard,25-34,South,3,7,1,3.2,7,0.65,0.95,15,Romance,0,
SUB_00149,2024-03-27,Basic,45+,South,2,9,2,2.8,5,0.64,0.3,20,Comedy,0,
SUB_00150,2023-11-03,Basic,25-34,West,1,14,1,1.0,4,0.33,0.71,29,Horror,0,
SUB_00151,2024-10-09,Premium,45+,Northeast,4,2,0,9.4,27,0.89,0.63,2,Romance,0,
SUB_00152,2023-07-03,Basic,25-34,Northeast,1,18,0,3.3,0,0.89,0.79,39,Action,0,
SUB_00153,2023-11-10,Basic,25-34,South,2,13,8,1.6,3,0.39,0.84,29,Drama,0,
SUB_00154,2023-12-07,Standard,18-24,Midwest,4,13,1,8.1,1,0.78,0.65,23,Thriller,0,
SUB_00155,2023-08-15,Premium,35-44,South,1,16,3,6.8,2,0.41,0.53,37,Crime,0,
SUB_00156,2023-09-21,Basic,25-34,Northeast,1,15,1,0.0,5,0.51,0.51,30,Horror,1,2024-11-07
SUB_00157,2024-03-25,Standard,25-34,South,2,9,10,6.2,10,0.6,0.46,21,Comedy,0,
SUB_00158,2023-09-08,Standard,25-34,Midwest,1,16,13,5.8,7,0.33,0.83,28,Action,0,
SUB_00159,2024-02-12,Basic,45+,South,2,10,5,3.5,12,0.56,0.78,18,Animation,0,
SUB_00160,2023-06-19,Standard,45+,South,4,18,2,6.1,10,0.79,0.8,31,Documentary,0,
SUB_00161,2024-07-19,Standard,35-44,Midwest,2,5,2,8.7,1,0.96,0.35,14,Animation,0,
SUB_00162,2023-05-12,Standard,35-44,West,3,19,1,5.8,2,0.37,0.66,36,Crime,0,
SUB_00163,2024-08-28,Standard,25-34,Midwest,3,4,0,7.6,2,0.41,0.78,7,Animation,0,
SUB_00164,2023-02-15,Standard,25-34,Midwest,4,22,0,7.1,3,0.6,0.87,36,Horror,0,
SUB_00165,2023-12-16,Basic,45+,South,3,12,1,1.1,6,0.61,0.53,17,Romance,1,2024-03-07
SUB_00166,2023-04-09,Premium,18-24,South,5,21,11,8.2,22,0.41,0.63,41,Drama,0,
SUB_00167,2023-02-06,Basic,25-34,South,2,23,0,1.6,13,0.29,0.92,55,Horror,0,
SUB_00168,2024-03-13,Basic,25-34,Midwest,1,9,1,5.2,6,0.23,0.83,12,Animation,0,
SUB_00169,2023-03-16,Basic,25-34,South,2,21,3,1.2,2,0.5,0.81,50,Horror,0,
SUB_00170,2023-02-27,Standard,25-34,West,4,22,1,6.1,0,0.27,0.67,39,Action,0,
SUB_00171,2023-01-19,Standard,25-34,West,1,23,0,5.3,9,0.69,0.63,51,Romance,0,
SUB_00172,2024-02-06,Basic,18-24,Northeast,3,10,1,2.3,0,0.34,0.91,19,Romance,0,
SUB_00173,2023-07-07,Standard,25-34,Northeast,2,18,4,5.1,0,0.37,0.86,39,Action,0,
SUB_00174,2023-05-19,Basic,25-34,Northeast,4,19,8,1.5,20,0.76,0.74,32,Romance,1,2024-07-25
SUB_00175,2023-05-23,Standard,18-24,South,3,19,0,2.2,1,0.43,0.46,40,Drama,0,
SUB_00176,2023-04-18,Basic,18-24,Northeast,3,20,7,0.6,10,0.39,0.86,41,Action,1,2024-04-01
SUB_00177,2023-08-09,Standard,35-44,West,4,17,6,6.9,4,0.8,0.81,34,Thriller,0,
SUB_00178,2023-05-25,Standard,25-34,Northeast,4,19,1,6.2,4,0.45,0.61,35,Action,0,
SUB_00179,2024-05-24,Premium,35-44,South,2,7,0,10.8,0,0.67,0.84,12,Drama,0,
SUB_00180,2024-01-11,Basic,35-44,Northeast,4,11,5,4.7,6,0.7,0.35,25,Action,1,2024-06-02
SUB_00181,2023-01-05,Basic,35-44,West,1,24,1,5.7,13,0.19,0.78,45,Horror,0,
SUB_00182,2024-01-23,Basic,25-34,Midwest,3,11,4,0.6,5,0.41,0.55,25,Drama,0,
SUB_00183,2024-07-21,Premium,25-34,West,2,5,2,15.6,5,0.87,0.91,10,Thriller,0,
SUB_00184,2024-07-13,Premium,25-34,West,2,5,0,5.2,5,0.14,0.83,8,Drama,0,
SUB_00185,2023-06-12,Basic,35-44,South,4,18,3,1.3,1,0.45,0.83,32,Horror,0,
SUB_00186,2023-12-31,Standard,25-34,South,3,12,4,5.4,1,0.47,0.83,22,Drama,0,
SUB_00187,2024-02-21,Premium,45+,Northeast,2,10,1,13.4,4,0.45,0.83,20,Crime,0,
SUB_00188,2024-05-23,Standard,45+,South,1,7,4,1.8,9,0.31,0.76,13,Thriller,0,
SUB_00189,2024-09-03,Standard,18-24,Midwest,4,3,1,5.2,7,0.81,0.89,8,Crime,0,
SUB_00190,2023-01-21,Basic,18-24,Northeast,2,23,11,2.2,3,0.29,0.83,45,Animation,0,
SUB_00191,2024-09-05,Basic,35-44,Northeast,1,3,0,0.0,4,0.71,0.8,5,Thriller,0,
SUB_00192,2024-05-31,Premium,25-34,Midwest,2,7,4,11.8,34,0.38,0.87,9,Documentary,0,
SUB_00193,2023-07-16,Premium,18-24,Midwest,2,17,4,9.5,4,0.66,0.68,36,Drama,0,
SUB_00194,2024-10-22,Standard,45+,Midwest,2,2,2,6.4,2,0.57,0.73,9,Animation,0,
SUB_00195,2023-12-11,Basic,25-34,South,1,12,1,1.3,3,0.29,0.86,31,Thriller,1,2024-02-29
SUB_00196,2023-11-26,Basic,45+,Midwest,2,13,1,1.4,7,0.28,0.6,23,Documentary,1,2024-03-16
SUB_00197,2024-01-13,Standard,35-44,South,5,11,2,10.7,1,0.7,0.65,27,Crime,0,
SUB_00198,2023-07-30,Premium,35-44,Northeast,4,17,2,6.9,1,0.35,0.69,34,Documentary,0,
SUB_00199,2023-06-09,Premium,25-34,Midwest,4,19,4,9.3,1,0.52,0.88,35,Comedy,0,
SUB_00200,2024-10-19,Standard,25-34,West,3,2,1,3.7,6,0.02,0.85,3,Crime,0,
SUB_00201,2024-07-23,Standard,25-34,Northeast,1,5,0,5.3,3,0.76,0.72,12,Drama,0,
SUB_00202,2023-12-20,Basic,18-24,South,2,12,2,2.4,15,0.58,0.61,26,Action,0,
SUB_00203,2023-08-28,Basic,25-34,South,3,16,0,3.8,2,0.36,0.82,34,Sci-Fi,0,
SUB_00204,2023-03-20,Premium,25-34,Northeast,1,21,2,7.8,9,0.15,0.85,41,Sci-Fi,1,2024-02-28
SUB_00205,2023-06-01,Standard,18-24,West,1,19,2,4.4,7,0.41,0.62,34,Sci-Fi,0,
SUB_00206,2024-05-31,Basic,25-34,South,2,7,4,2.4,0,0.54,0.33,16,Comedy,0,
SUB_00207,2024-01-18,Basic,35-44,Midwest,2,11,2,0.0,3,0.7,0.84,21,Romance,1,2024-03-11
SUB_00208,2024-11-23,Standard,18-24,Midwest,1,1,1,7.9,1,0.33,0.74,0,Sci-Fi,0,
SUB_00209,2023-12-18,Basic,18-24,South,2,12,0,0.0,3,0.74,0.66,25,Thriller,0,
SUB_00210,2023-07-20,Basic,35-44,Northeast,4,17,0,3.1,2,0.95,0.59,37,Action,0,
SUB_00211,2023-05-13,Standard,45+,South,1,19,3,13.7,11,0.05,0.66,49,Drama,0,
SUB_00212,2024-09-25,Standard,25-34,Northeast,2,3,6,6.5,31,0.37,0.87,6,Animation,1,2024-10-07
SUB_00213,2023-06-18,Standard,18-24,South,2,18,1,6.8,2,0.44,0.54,28,Sci-Fi,0,
SUB_00214,2024-01-26,Basic,35-44,South,4,11,2,2.2,12,0.53,0.22,23,Action,0,
SUB_00215,2024-01-20,Standard,45+,West,3,11,2,2.9,0,0.48,0.58,31,Animation,0,
SUB_00216,2023-04-08,Basic,35-44,South,1,21,1,3.2,0,0.14,0.51,35,Horror,0,
SUB_00217,2024-01-12,Basic,35-44,Midwest,1,11,0,0.0,3,0.55,0.69,23,Thriller,0,
SUB_00218,2023-12-06,Standard,25-34,South,2,13,2,2.0,2,0.53,0.87,25,Horror,0,
SUB_00219,2024-06-14,Standard,25-34,Midwest,1,6,0,3.9,1,0.69,0.51,15,Action,0,
SUB_00220,2023-05-12,Premium,18-24,West,2,19,2,12.1,2,0.61,0.57,37,Crime,0,
SUB_00221,2024-08-30,Standard,35-44,South,2,4,4,1.9,12,0.47,0.88,8,Documentary,0,
SUB_00222,2023-07-29,Standard,35-44,West,1,17,0,6.7,1,0.59,0.84,43,Comedy,0,
SUB_00223,2023-01-05,Basic,45+,Midwest,2,24,1,2.7,2,0.69,0.68,44,Horror,0,
SUB_00224,2024-01-12,Standard,25-34,Midwest,2,11,4,5.2,12,0.44,0.95,23,Sci-Fi,0,
SUB_00225,2024-10-01,Basic,18-24,Midwest,1,3,2,0.0,13,0.17,0.95,7,Crime,0,
SUB_00226,2023-02-23,Basic,25-34,South,4,22,0,3.4,0,0.52,0.76,42,Thriller,0,
SUB_00227,2024-05-12,Premium,35-44,South,5,7,3,9.0,4,0.73,0.85,14,Action,0,
SUB_00228,2023-07-17,Standard,35-44,Northeast,1,17,4,4.8,4,0.25,0.83,37,Comedy,0,
SUB_00229,2024-03-16,Premium,18-24,South,1,9,1,8.0,29,0.44,0.71,13,Action,0,
SUB_00230,2024-12-18,Standard,25-34,West,5,1,1,1.1,8,0.54,0.7,3,Action,0,
SUB_00231,2023-06-29,Standard,25-34,Midwest,3,18,2,2.5,1,0.19,0.62,35,Sci-Fi,0,
SUB_00232,2023-08-29,Standard,25-34,South,4,16,1,7.4,2,0.24,0.75,40,Horror,0,
SUB_00233,2023-11-16,Standard,45+,West,2,13,5,9.0,9,0.35,0.89,32,Action,0,
SUB_00234,2024-05-15,Standard,25-34,Midwest,2,7,4,6.4,8,0.5,0.85,16,Thriller,1,2024-08-21
SUB_00235,2024-10-11,Basic,35-44,South,4,2,1,3.1,0,0.78,0.8,2,Animation,0,
SUB_00236,2023-01-23,Standard,35-44,Northeast,2,23,1,9.1,13,0.6,0.46,46,Drama,0,
SUB_00237,2024-09-23,Basic,35-44,Northeast,3,3,6,4.4,11,0.27,0.68,6,Crime,0,
SUB_00238,2024-09-18,Basic,25-34,West,3,3,0,2.9,2,0.32,0.49,8,Documentary,0,
SUB_00239,2024-08-16,Standard,45+,West,4,4,4,3.5,2,0.58,0.74,11,Crime,0,
SUB_00240,2024-12-08,Basic,25-34,South,5,1,1,0.0,1,0.17,0.69,3,Drama,1,2024-12-12
SUB_00241,2023-06-29,Premium,25-34,South,2,18,0,10.3,4,0.63,0.57,34,Horror,0,
SUB_00242,2023-06-24,Premium,25-34,Midwest,1,18,0,10.7,3,0.24,0.57,30,Thriller,0,
SUB_00243,2023-07-17,Premium,25-34,West,1,17,0,20.5,0,0.07,0.86,39,Documentary,0,
SUB_00244,2024-06-21,Standard,25-34,Midwest,4,6,2,6.7,15,0.61,0.77,15,Thriller,0,
SUB_00245,2024-03-29,Basic,25-34,Midwest,1,9,7,2.3,3,0.92,0.81,17,Horror,1,2024-09-29
SUB_00246,2023-04-09,Premium,45+,South,1,21,1,6.4,1,0.58,0.84,41,Romance,0,
